score,text
0,"My 2nd time here. And I still think chick-fil-a is 100x better. This place has one item on the menu. Chicken fingers (and a sandwich i don't feel like trying). They only have their Cane's sauce (a tangy, chipotle mayo mix i didn't like) and Louisiana hot cause. The fries are the ruffled ones (too soggy) and the Texas toast isn't good at all (soggy as well and needs garlic or something to make it taste better). All in all the chicken is pretty solid. It's not great by any means - I'll pass going forward unless I am craving chicken and no nuggets / chick-fil-a is around."
0,"Switch lured me in for breakfast last Saturday boasting of $1 mimosas. She forgot to mention they were made with bad OJ (or was it Sunny D?). She also left out the breakfast burrito I was ordering was pretty much inedible.  I got the ham, egg and cheese burrito and it was not blended. So you either got an egg bite or a ham bite. I hate that. I'm sorry Switch but I won't be coming back (unless of course you have $1 Sangria..)"
0,"The buzz was minimal to non-existent, even with the extra shot of liquor for $5. You'll get diabetes before you'll get hammered.\n\nA pathetic knockoff of Fat Tuesday at a designer price."
0,"As many other reviewers have stated, avoid Cancom and get a train to Glasgow instead. \n\nI bought my iPad 2 from them and after having owned it for a couple of weeks, decided I wanted a better case. So I went back to browse their (limited) stock and was pleasantly surprised to find one I liked. I asked one of the employees how it attached to my iPad, but having no demo models without the giant security tags on them he asked for MY iPad to show me ...\n\nSo I reluctantly handed it over, and he proceeded to jam it in there, clearly struggling to get it to fit. I objected and he returned my iPad to me. I later discovered the corner was broken.\n\nGo in, browse, have a play with their demo models, then if you like what you see either order online or go to the Apple store in Glasgow. Don't buy from Cancom."
0,Let me first say ordered for the kids but I was not home when they brought the food my children didn't tip ! But the kids like the food so much the next knight I said well lets order again my daughter goes to place an order the guy told my children they wont deliver because we did not tip the night before ! although on the menu its says they add 1.99 to delivery ! last I herd tips are 100% up to you not mandatory ! So when I call to talk to somebody the kid said to me your not worth our time to deliver ! I ask to talk to a manager he says I don't know but I can take and order now ! Third so called manager I call and tried to see if this is how they run things by telling kids who had enough to buy food but our money isnt good enough he says well mam I don't know they did nothing but make it a worse experience  good food but that kind of business is not worth my money!!!!!
1,Fast and fresh breakfast! I like the simple things for breakfast sometimes and they do a great job at it. Will definitely be back.
0,"Pratt's is a nice local pet store that has a large selection of poultry and rabbits along with a small variety of reptiles and mammals. They also have a large selection of bird supplies.\nI went to the store looking for reptiles and reptile supplies. They had a few bearded dragons*, some corn snakes and a couple of ball pythons. More impressively they had a large collection of sulcata tortoises. Their tortoises are more expensive than most other local pet stores, but they had a larger selection than most other stores, meaning there is a greater variety to choose from.\nBehind the store they have an area with chickens, pigeons, pigs and a goat that was very interesting.\nThis store is definitely worth going to just to look around even if you're not interested in buying anything.\n\n*Edit\nOn my last visit I couldn't see a bearded dragon that didn't have a physical defect. They had plenty of lizards, but each one had either a missing toe or nub tail. This was in December and I haven't been back since."
0,"The spot is really cool looking, a bar nestled up against the lake tucked into a corner of a larger building. I stopped by with a couple friends to have a quick drink. After quite a bit of a struggle to get someone to take our order and get some drinks, we enjoyed the time on the patio and the seats were a little old but still comfortable. \nOnce we got our drinks, we never saw our server again. Once we finished our drinks and were ready to leave, I wandered around trying to find someone to pay our tab with for nearly 10 minutes before abandoning hope, guessing the total of our order, leaving $20 on the table and walking out.\nI couldn't believe it. I read some other reviews now for this place, and it seems like this is pretty commonplace type service here."
1,"Entree was definitely not hot enough but otherwise everything was very yummy. If you're ordering the steak, I suggest Lux Cafe downstairs instead."
1,It was good while it lasted.  I think it's closed now.  Not sure.
0,"Risking my life for a run-of-the-mill haircut....\n\nFirst of all, for those of you going to this great clips from Squirrel Hill: good luck.  Write a will.  Kiss your children goodbye, since making a left turn across Brown's Hill Road is about as safe as playing on the interstate with steak knives.\n\nGoing to this Great Clips is a little like playing haircut roulette: you never know what you're going to get.  I've been twice now, and once I got a pretty decent cut, and once, well, I kind of looked bald.\n\nThis last trip was actually pretty bad.  I went at about 10:00 and they had a line of five people, with two stylists.  They said it would be about 20 minutes.  It was actually about an hour.  And the sad thing is several people came in after me, and at one time, the line was seven people long, and they always said it would be 20 minutes.  20 minutes seems to be the standard answer, so take it with a grain of salt.\n\nWhile I was there, I did see one nice thing: they fix bad haircuts for free.  An old lady came in unhappy with her cut, and they got her in right then.  (No waiting in line for re-do's, apparently.)  The stylist was very sweet with her and fixed it for free.  I kind of wish I had known they fix bad haircuts, but then again, there's not much you can do when your hair's so short it looks bald.  Eh.  It grows out, right?"
0,"HORRIBLE HORRIBLE HORRIBLE. The best three words I could use to explain the service, quality and accountability. Bug guts galore still left on my car and when I confronted the head of the \""finish line\"" he wiped it a little and that was it. I could easily wipe the bugs off with a finger, and the cherry air freshener smells like cough syrup. I purchased the supreme wash and the service at the front was impeccable and friendly. Thoroughly disappointed with the quality of the wash and UNWILLINGNESS to fix their mistakes. WILL NOT return here and will be sure to suggest no one else comes. Great atmosphere. Unsatisfied with the finished product."
0,"We went here about a week ago. It was a nice atmosphere with decent decor, friendly service and seemingly fair prices given the location inside the upscale Tivoli Village. Both the inside and outside seating areas looked nice, well-lit with good ambiance. We opted to sit outside... which was a mistake. It reeked of smoke coming from the cigar shop next door. No matter, two drinks (each) later and we didn't care so much. The guacamole was very good and that's about it. We ordered chorizo tacos, chicken enchiladas, and vegetarian enchiladas. All three dishes were extremely greasy. Like, grease with a side of food greasy. The enchiladas looked like something from a gas station. The chicken dish tasted fine but the vegetarian dish was not good at all. I did not try the tacos because I personally do not like chorizo, although the person who ordered them did enjoy them. The vegetarian in our group did not finish their food but both of us carnivores did. This, again, was a mistake. I'll spare you the details but thanks to all that grease and possibly in part to the cigar smoke, we both were very sick the entire next day. At first I thought I had a fever but it was very clearly food-related. Yuck."
1,"I took my adult daughter here for her birthday. We both loved the Aria! It is clean, modern, new, and it doesn't smell from smoke. They have some kind of nice smelling fragrance in the air. All of the employees have smiles and are extremely polite and helpful. The management must have a top notch program because you could definitely tell that each person that works at the Aria is finely trained in their jobs. The room was gorgeous, with comfortable beds and a large bathroom. I liked that everything it high tech. You can control the temperature, drapes, wake up calls, etc. all from the television! We appreciated the security downstairs controlling the entrance to the elevators. We had a view of the strip and at night it was impressive. We had two closets and plenty of drawers. Don't touch anything in the mini bar because it is all computerized and you will be charged. Wish there was more room in the mini bar to put a few of our own bottles of water. By the way, you can't find a cup of coffee or a bottle of water anywhere in the hotel for under $4.00.  Plenty of nice restaurants to chose from and many shops to walk through. We didn't use the pools, but we did walk out to see them and there are many to choose from. We ate breakfast at Cafe Vettro which was good. Had a dinner at Lemongrass, the Thai restaurant. That was awesome, but as with all of the restaurants in the Aria, a little pricey. $20 for fried rice....really? \nSpeaking of pricey, I understand room taxes at hotels. But they charge a resort fee of $22 per day. What do you get? Free Wifi (don't need it with an iphone) a free newspaper which is not delivered to your room, and use of the fitness center. When I asked about taking that off the bill I was told that they couldn't, so now tack that on to the room taxes and the price starts to rise. Other than that issue, I would stay at the Aria again. No one told us that there is a free monorail tram from the Monte Carlo, Aria and Bellagio but we figured it out on our last day. The whole city center area is new, sleek and modern. Stay there, you will love it."
0,"Will give Echo & Rig another try because our steaks were amazing, perfectly cooked and flavored. Unfortunately, the service was not up to par. We dined downstairs, early dinner. We watched as one couple left because there was no server in sight. When  one popped up, we seemed to haven disturb her. Took our order, no follow up, just the check."
0,"Dreadful, rude service- borderline bullies, poor selection, and they severely mark up their prices!!! Both my friend and I found a dress that they have at other stores for a fraction of the cost. Unacceptable. What a joke, really. Not at all what you want to have to endure while planning the most important outfit you'll ever wear! So upsetting!"
1,"no this place isnt \""top of the line\"" but id hafta say.. i love staying here.\n\nits in the middle of the strip.. prices arent bad if you're staying with a big group and don't mind rooming together. (you know you get some bitchy ass friends that come along and \""ugh i dont want to sleep on the floor\"" or \""theres too many of us for one bathroom\"") STFU!! ITS VEGAS! its not like youre going to be in the room 247 GEEZ! \n\nthe only rooms we get here are the NORTH tower grand suites. do it!"
1,"Ah, the mythical Kay's bar. Said to appear only when the moon is full, the temperature is in the 9-11 degree region, and you recite the words to Sunshine On Leith backwards. In Spanish. It's an alcoholic Brigadoon.\n\nOr, it's off the beaten track and people can't be bothered walking that far. Not sure.\n\nIn any case, it's a great little local bar, with a good selection of real ales, and a fine selection of whiskies along the top gantry. It's also small and red. RED. LOTS OF RED. ALL THE RED. That's not a complaint, just an observation of the redness.\n\nIf I was a local in this area, I fear I would never leave here. There would be no need for me to go anywhere else, as this is a damn fine establishment.\n\nOne of Edinburgh's better kept secrets.\n\nEntirely visible at all times, too - despite what you might hear..."
1,"Vegetarian Pho and Lemongrass Tofu...amazing!  Trying to eat low calorie and low carb, so I ordered these dishes without rice or noodles, and they were still sooooo good. \n\nThe pho broth is the best I've ever tried, with complex flavors and the ability to modify per your tastes (lime, jalape\u00f1o, sriracha, chili oil). It came loaded with soft tofu and veggies - cauliflower, broccoli, carrot, green onion, celery, mushrooms, bean sprouts. You can get crispy fried tofu if you prefer. \n\nThe lemongrass tofu and vegetables was sweet but great.  Next time I'll add sriracha, but spicy is my personal preference.  We basically licked the plate clean. \n\nThe Vietnamese coffee was such a treat. A glass with sweetened condensed milk is brought to the table with the coffee dripping down into the glass from a French press-type of contraption on top. The coffee itself is  strong and harsh. Went down like burnt rubber for a newbie coffee drinker like me. But once the milk is mixed in, it's delicious. And even better once it's poured over ice. The calorie heavy sweetened condensed milk makes it an indulgence I'll try to resist in the future, but I know now I'm likely to fail. \n\nI can't stop thinking of this place."
1,"Food was very good and it came out quickly.  Only issue was the waitress, had to ask for two menus, then we ordered two beers but only got one, then getting enough to go boxes was challenging."
1,"I'd almost give them 5 stars other than the barber made me bleed with the straight razor haha. Nothing crazy, but they did a really good bald fade. I was worried since I just moved here from Michigan."
0,"What can you expect from airport food? Granted, they do have a good selection. Prices are high per usual but there is ample seating and they give you ice water instead of redirecting you to a fountain. The food was so-so. But again, what do you expect?"
1,I called Waterboy Pool Services for an urgent Pump Motor Replacement. Ryan happened to be in my neighborhood and was at my house in less than 20 minutes. He took excellent care of me and got my pool up and running in no time!! Thanks to Waterboy Pool Service and Ryan!!!
0,"I feel so sorry for people that come here as a tourist or with out of town guests.  Folks, this is as bad as it gets.  \n\nLiving in Las Vegas I can deal with having a crappy restaurant experience and paying too much because sometimes you just don't know or have a choice.  Unfortunately, I had never been here and had a couple of out of town guests who googled Italian food on their phone and this one popped up and was close to their hotel.\n\nI tried to steer them away from this place as restaurants on or near the strip are usually incredibly overpriced and the food is usually at best mediocre.   Well my attempt at steering them to a known commodity did not work.\n\nBattista's it was.\n\nI'm not going to get into details on this place as they have been discussed ad nauseum on Yelp.\n\nThe food in this place is not only unpalatable but is probably dangerous.  Chemical tasting food that I can picture being cooked up in large tubs in the back is what this place serves.\n\nThe 'wine' they serve is not quite up to the same quality someone on food stamps would buy to use as cooking wine.  Don't get me wrong I don't mind cheap wine but this stuff was not fit to be consumed by humans.\n\nTo top it all off they serve a Nescafe Corn Syrupy type chocolate drink at the end.\n\nThis place has a cozy ambiance according to other review but that's where the positives end.  This place preys on unsuspecting tourists who don't know any better until it's too late.  I can't imagine anyone ever going back to this place.\n\nThis place treats its customers like cattle, well, maybe worse actually.  They could care less about your experience and possible return business since they are located in a spot that see's a few million new visitors each year.  This restaurant wouldn't last 3 months in another city that must rely on return customers and positive word of mouth.\n\nPlease people do not go to this awful place with these awful people.  This restaurant represents everything that is wrong with the Las Vegas dining scene."
0,"Most of the negative reviews here are pretty accurate. However a lot of the people writing them are contradicting themselves. It makes no sense that people are complaining that they had to wait in line too long, but then went on to say that the club was overcrowded. What else did you expect? Let people in and make it more crowded, or make people wait in line. They can't do both.\n\nAnyway, you're better off spending your money at another club on the strip.  My GF and I went to Haze in March 2010 on a weeknight, got there around midnight. I know for the most part couples are generally frowned upon by nightclub bouncers, but nonetheless they're making money off of us too. There was literally 5 other people in line and they made us wait for a pretty long while. After about 30 minutes of waiting I slipped the bouncer a 20 and he finally let us in (normally if the line was crazy I'd tip the bouncer $25 per person). We were being polite to the bouncers but they were still being major stuck up douches, absolutely no need for that. On top of that we paid the ridiculous cover. The club wasn't too crowded, but the drinks were way overpriced. Yes it's Vegas and it's to be expected to spend some cash, but there is something wrong with paying $45 for two redbull + jager drinks. Also what's with the guys with the flashlights thinking they're so effin special? They shove through the crowd yelling \""MAKE A HOLE\"" as if they're escorting President Obama out of a brawl. Most of the times they do this it appears to be for no reason at all. It makes the clubbing experience even less enjoyable when you're getting pushed around like that.  There is really nothing special about Haze that makes it stand out from the other clubs. There are clubs here in San Antonio that have better service, sound system, design, lighting, atmosphere, etc. for a fraction of the amount you spend. For being in a nice place like Aria you'd have much higher expectations for a club. Don't ruin your night by going to Haze."
0,"Worest frederick's of Hollywood I have ever been in. No selection, and unhappy and unhelpful sales people. The one sales girl was just sitting on the floor behind the register like she didn't even want to be there, the other couldn't help me find what I was looking for. Don't go to this one, use the fashion show or boulavard location!!"
0,"Service is awful, even for Chinese people (I'm Chinese, so I am socially qualified to make that statement.) Food is good occasionally, but I question their hygienic standards.\n\nFor example, I know that Peking duck is not supposed to taste rancid. It tasted rancid twice in my frequent visits, and I eat there mostly because my in-laws like the place. \n\n\""The duck tastes off.\"" I said.\n\n\""No it doesn't.\"" said the waitress without missing a beat.\n\nOnce, while dining with my toddler son, my wife asked if they had anything for him to drink along with his water. We asked for milk or orange juice, both of which they had none. \""What do you give kids, then?\"" asked my wife. \""Just give him soda.\"" said the waitress. My father-in-law decided to have the Special of the Day. \n\n\""We don't have the Special of the Day.\"" said the waitress, her deadpan face never betraying the dripping irony of the statement. The manager came out soon thereafter. \n\n\""Sorry, we don't have the special of the day today, sir. Can I get you the wonderful fresh cod that we're known for? It's steamed with traditional spices for half an hour and served on a bed of greens-- a delight to the taste, especially with a splash of light Pinot Noir.\""\n\n... is what he never said. Instead, the cap-and-jeans dude looked irritated and said, \""Get number 44. We don't have special. Get 44.\""\n\n\""What's 44?\"" \n\n\""It's good.\"" And he walked away."
0,Feels just like a college bar. Ridiculously hot in there... Everyone had sweat dripping off their forehead! Please turn up the AC!!  Sound system is also TERRIBLE!  The Instruments so loud that no one can make out the vocals. Lot's of girls except that 50% are lesbians!  $6 dollar cover charge for locals too and it's not worth it.
1,"Surprised I saw such bad talk about this place. I almost did not book it.... Luckily, I did. \nIt was very nice, the staff was so helpful and went totally out of their way to help me..\nBreakfast was pleasant, but what can you say for a continental breakfast?\nEasily accessible to the  highway, walk to eat some dinner or if you need to head to \nWalmart it's a short drive away."
1,"There are a lot of detailed reviews here so I'll just list the main points:\n- HUGE club, indoor and outdoor.\n- Plays Top 40\n- Drinks are Vegas priced\n- Line up early @ 9:00pm to get in without a super long wait.  The line will be LONG.\n- Lots of azns (^_^).  That's kind of a no-no for me.  Don't get me wrong, I'm half Chinese, but I like to hang out with a more diverse group of people than the attention whoring Asian chicks and the rice rocket B-Boy crew.\n- Gets extremely crowded around midnight.  You won't be able to move.  Seriously.\n- $30 cover for men, $20 for women\n\nOverall, it's one of the best clubs I've been to and my husband, who hates clubs actually liked this place too, so have fun if you're deciding to come here while you're in Vegas!"
