,score,text
84,0,"i had a small room just with a bed, TV and a small bathroom. no safe. the coffee-&#47;tea-station you can use free of charge but its at the reception desk"
85,1,the location of the hotel is very centric and nice and the stuff very friendly and helpfull!
86,0,Nothing
87,1,"Very close to the city center and to the old town, clean rooms, very good breakfast"
88,0,Thin walls. I could here everything happening next door
89,1,"Helpful staff, very clean, comfy bed"
90,0,"Bathroom size, breakfast wasn&#39;t the highest quality - bread was obviously from the day before."
91,1,"Close to Central train station, friendly staff. Good sized room."
92,0,"Poor breakfast, kids were disappointed that didn&#39;t find panckakes..."
93,1,"Excellent location in the center, underground parking near hotel for 40 eur for 24 h. Room enough spacious, clean."
94,0,"Actually there were all the must-haves. I would probably add a fridge in the room, a shelf in the bathroom, some more electrical sockets by the beds. However that does not influence the overall impression."
95,1,"Almost everything was quite pleasant. Starting from the arrival and the opportunity to leave the baggage in the luggage room. A large reception area with a tea&#47;coffee pot and stuffed with sofas and armchairs is a great complement. The room itself is considerably spacious, but not very warm. Luckily there was an electric heater. Breakfast was tasty with different options for cold and warm dishes exactly what I personally like - scrambled eggs, sandwich options, milk and yogurt with corn flakes and muesli, pastry, coffee and tea - quite enough for a good start of a day. And the people, surely, the receptionists were always helpful. The building itself, its architecture is of  much interest. Location is also great. Not the very center packed with tourists, but very close to it, in 10-15 minutes walk distance from the Old City, which is a fully equipped shopping area."
96,0,Late checkout charge at per hour. We book 2 rooms and would like to request for one room to have late checkout as my baby may would like to nap during the afternoon time as our flight is at 9pm. But the staff would like to charge us even there is room available.Water boiler only at receiptionCoffee tea only at receiption
97,1,Location. But the route to hotel is not luggage friendly as the road is bumpy. And beware your valuable item as my mum phone got stolen on the way to hotel.Free unlimited coffee and tea at receiption
98,1,"breakfast, location"
99,0,nothing particular.
100,1,Perfekt lokation i centre of Stockholm
101,0,"The heating was insufficient. The overall state of the building still needs improvement. The room offers enough comfort, but could be better. Since there are smart TVs in the rooms, the hotel could allow access to Internet, for services like YouTube or netflix, considering the TV channels offer is limited."
102,1,Great location. Great breakfast. Friendly staff and comfortable enough room.
103,0,Sound proofing of rooms was not good. Facing road noisy at times
104,1,Breakfast was simple. Max 2 days and you will get tired of the selection. Room is big and clean
105,1,Excellent location and friendly staff.
106,1,"Price, location and staff amazing, really I appreciate it. Thanks guys."
107,0,"The door and windows are a bit thin, so the noise from outside is too high."
108,1,"Very clean room, nice and helpful employees, good breakfast with good choice."
109,0,Our 3-person room was very cramped and the bathroom small for 3 adults.
110,1,Incredible location..easy to get everywhere walking.  Very quiet so sleeping never a problem and the beds were extremely comfortable.  Elevator was small and very old but in great working condition.  Very nice breakfast spread everyday.  This was a great value overall.
111,0,Cutlery could be cleaner.
112,1,Great location om Drottningsgatan. Breakfast good.
113,0,Nothing
114,1,Location and clean
115,0,"In one sentence...It just didnât feel like value for money at SEK1690 for a small double (more on that below). Granted, being a local, I donât usually stay in Stockholm hotels, but am a frequent guest in Oslo and Copenhagen (both relatively expensive locations) and I cannot recall ever having paid so much for as disappointing a room&#47;hotel as this. The lobby is fine and the room was clean, but it wasnât even possible to open the bathroom door properly because the bed was in the way...there is not space for a double bed in the room, it is a single room with a double bed. Breakfast starting at 0800 is unacceptable on a normal weekend day (0730 barely acceptable, 0700 OK, 0630 or before good), but on the day after summer time changed, just bonkers! My body was screaming for breakfast at 0630 but I had to wait until 0800 (when my body thought it was 0900)...so had to go out early to find something to tie me over! Breakfast itself was certainly a satisfactory spread without being great. So if you expect breakfast soon after you wake, and your hotel to also feel as though at least a little thought has gone into your experience as a guest, then best go elsewhere. But if you just want a clean place to sleep, and late breakfast doesnât bother you, then I guess itâs an alright place to stay."
116,1,Location fantastic. Room clean.
117,0,Nothing
118,1,"The location was close to the train station and in the middle of the shopping district, perfect for access to everything."
119,1,"Good location on pedestrian walkway, more spacious than most hotel rooms."
120,0,"Windows are old (and thin) and room faced the street, which meant all noises travelled easily - everything from conversations to vehicles. Also at 4 am thereâs a street cleaning vehicle driving past. If you donât mind noises or can sleep with ear plugs, then this wonât bother you. For someone who normally lives in a very quiet area and needs a good nights sleep, this was quite disruptive..."
121,1,"Very nice and helpful staff. Clean rooms, comfortable bed, good sized bathroom. Nice breakfast. Perfect location with only 10 min to central station."
122,0,better choices for breakfast
123,1,Good location
124,0,"- One of the members of the staff was unable to answer some basic questions about the city- The beds in the twin room were small and not amenities were provided"
125,1,"- The location is great, quite central and close to the main train &#47; metro station- It&#39;s a cosy and comfortable hotel"
126,0,Towels are a little small and there is no slippers.
127,1,"Location is perfect. Staff is welcoming, rooms are clean. Amazing breakfast!"
128,0,"Very minor points - the floor was a little dusty beside the beds, the electric sockets were a little loose and the cups were not washed up each day. But these are so so minor - this is purely a heads up should you have more picky guests!"
129,1,"The staff were a pleasure. They all seemed so happy, helpful and kind. A wonderful example to the city and the country of Sweden.Location is outstanding. We couldn&#39;t have picked a better spot with the bus&#47;train terminal, underground and old town all within a few minutes walk."
130,0,nothing every thing were perfect
131,1,The place i near to T centralen and to every thing you need as avisitor
132,1,Perfect location for exploring the city. Hotel is really comfortable with some quirky original features and a boutique feel. Staff are lovely and breakfast great.
133,1,"its so cozy, in the middle of Stockholm, the hotel has AMAZING beds and the staff is so nice and helpful! This was my first time in Stockholm and this hotel and when I come back I will for sure come here! love love love"
134,1,perfect!
135,1,"Food was mhee, not bad"
136,0,My room was slightly dusty when moving in. the cleaning staff arrived in the morning and resolved all issues immediately.
137,1,"Excellent value! The location is excellent in the centre of Stockholm. My room was spacious, with high ceilings, covings and period features. the breakfast excellent with a wide selection of high quality food. The staff is very attentive and strives to resolve any issues."
138,0,"WiFi was barely working in our room,There was a really bad smell coming from the pipes in the shower"
139,1,"Good Location, Tasty brekfast although not the most variety availableComfortable beds"
140,0,There was nothing to dislike. Everything was great!
141,1,"Very friendly staff, perfect location, cozy &amp; clean room, great breakfast!Beautiful Xmas decoration made us feel really festive!"
142,1,All very good!
143,1,"Awesome breakfasts, nice and friendly workers"
144,0,"-Strong sewage smell, had to cover the shower drain with a towel-Not a clean bathroom-Cold room-Very noisy neighborhood, from bars and adjacent rooms."
145,1,"-Location-Early check-in-Friendly staff"
146,0,it was super cold in a room
147,1,location is amazing nice breakfast
148,1,"Everything was amazing! The staff are very polite. The breakfast is excellent. Great location. Very close to the old town, yet quite quiet"
149,0,"The table for the breakfast was not clean.The floor of the room was not clean"
150,1,I like the downtown position and  the breakfast
151,0,"no shampoo. poor lightning bedside, small facilities for breakfast, toilet seat was loose."
152,0,I loved everything about it.
153,1,"Itâs a part of an old building, itâs got wooden floors, high ceilings, comfy beds. even though our  room was facing onto the Main Street it wasnât too noisy. it was clean and bright."
154,1,"Location was perfect, breakfast tasty, room cosy and comfortable and service nice and friendly"
155,0,"Location, comfortable bed.Breakfast ok."
156,1,Property old cold room&#39;s public areas as well.Floor in the shower wasn&#39;t clean enough!Suggestion Hotel need renovation and update.
157,1,Location was very good and the staff was lovely ð
158,0,Didn&#39;t like the dining room. Gloomy and crowded.
159,0,"It was 16 degrees outside and it was already very cold in the room, heating didnât work and windows are very old and not protect from the wind. There is no electric outlets near the bed, itâs difficult in general to find where to charge your devices in the room. Staff on check in just gave me plastic cards and small paper and said âyour room is XXXâ, didnât explain where to go and how to find the room. She also forced us to sign in for breakfast for several days in advance although we wanted to decide it every evening. Itâs disturbing especially during check in when we were tired after long journey and totally wet because of the rain."
160,1,"Location, high ceilings in the rooms, free tea and coffee in the lobby"
161,0,"We had booked two single rooms, but one of the rooms was absolutely not up to par. It was tiny, cold, the tap didn&#39;t work properly and the window couldn&#39;t be closed fully and there was somebody (probably another guest) sitting on a bench right outside the window smoking and listening to noisy music on his phone at two o&#39;clock in the morning. This room was not worth the money."
162,1,"Location, breakfast."
163,0,broken old hair dryer. No turn down service. Simple room service options.
164,1,"Breakfast was great! there was a lot to choose from, fresh and always topped up. The location was brilliant, right in the heart of the main street. Easy to get around and explore. The room needs a few refreshers. An option for a room make-up service would be nice."
165,0,Non
166,1,Excellent staff
167,0,Nothing
168,1,Great personal - very friendly &amp; helpfulBest LocationGood breakfast
169,0,Nothing !!
170,1,"Location, cleanliness, and sympathy from the staff are on top!! Small problem, starting at 6:30, not easy to enjoy a breakfast when the room only opens at 7am.....NO, we jute asked the day before a breakfast box and this one is waiting for us at 6:30 as planned and veggie in addition !!! (clementine, and small cucumber burger and pepper pickels... top)."
171,1,"Beautiful hotel, and roooms were spacious and very comftable. Clean and great location! :)Would defiantly stay again!"
172,1,"Friendliest staff ever!Nice facilities, good location"
173,0,"Old property basic furnishings , clean  but a little tired."
174,1,Location
175,0,Nothing all good
176,1,"Fab hotel, fab location very central. Lovely breakfast and comfortable beds."
177,0,Breakfast is a little behind what the bigger hotels offer.
178,1,"Great service, old building, clean rooms with seriously good beads."
179,0,"Old beds that have been used for many yearsBathroom without windows and aspirations And the noises from the road and inside the hotel, made us feel like we where sleeping in a camping tent. Breakfast was everyday the same and boring."
180,1,The location and staff
181,0,"WiFi was very slow most of the time.Parking is a bit of an issue - but got lucky with on-street parking about 100m, which is cheaper than main car parks."
182,1,"Location was fine - a bit of a walk&#47;bus journey to main areas for sight-seeing, but convenient enough. Breakfast was good. Building has more character than many hotels."
183,1,"I have been to this hotel several times; the location suits me well, and the facilities too"
184,1,location
185,0,"small room, no AC"
186,1,"location, charming architecture"
187,0,Not a dislike but Breakfast wasn&#39;t up to much
188,1,Location and rooms were comfortable
189,0,"The breakfast was sparse &amp; had poorer selection, compared to others we had at other hotels of this level."
190,1,"The room was larger and well appointed, the beds were comfortable, and the towels were of better quality. The staff was friendly and helpful."
191,0,"No aircondition, average breakfast"
192,1,"Very good location, helpfull staff."
193,0,The rooms were very small.
194,1,It was very clean and good location.
195,0,The floor of the bathroom tended to flood a bit when showering so a mop would have been useful.
196,1,"The hotel has character and the triple room was spacious. The bathroom was reasonable in size and ok for showering. The breakfast was good with a wide variety of food. The hotel is located abount 1km from the harbour area and about another 1km from Gamla Stan centre, so walkable. Central Sation is about 2km away so again walkable."
197,0,No air conditioning at the property and we were there on two of the hottest days so it was very uncomfortable.
198,1,The reception staff were friendly and helpful. The rooms were clean and well laid out.
199,0,air con wasnât working for us on the two nights we stayed
200,1,"friendly staff,!easily found , good location"
201,1,"Great breakfast, comfy room"
202,0,the hotel was a bit old and the breakfast was in the restaurant under the hotel
203,1,room was clean and with windows. quiet area. nice view over buildings of Stockholm.Breakfast was good and varied
204,0,"The bathroom probably hasnât been re-done in about 40 years, so although itâs clean, itâs very out of date. this didnât really bother us much, apart from the shower soaking the whole bathroom because the curtain was ineffective, but apart from it being a mild inconvenience, I actually thought it was quite amusing. itâs also quite noisy outside, but if you want a hotel with a decent city centre location, then youâre going to have to expect that."
205,1,"good location, nice staff and after we upgraded our room (the economy double is very small) it was really good value. the breakfast was decent too, everything youâd want."
206,0,Breakfast OK
207,1,Location - nice area and local on street parking
208,0,"only bad thing we thought was the noise from the road , especially drunk people walking past in the middle of the night. i realise this isnât the hotels fault!!"
209,1,"great location, nice old building"
210,1,It was a pleasant surprise to see the roomâs decor and a bathtub! Beds were so comfy and I love the view of the tower from the window. Breakfast was ok! And location is fantastic! We got to check in earlier and it made the trip such a comfort!
211,0,"There was no AC which was not good as the weather was plus 30 degrees. Of course this is a once in summer situation in Nordic countries, but would be appreciated now days."
212,1,"The hotel is situated a bit out of the centre, but close enough to walk to Gamla Stan or DjurgÃ¥rden. Room and other facilities were clean, the service was excellent and breakfast was good."
213,1,breakfast was perfect also locaiton!
214,1,Nice hotel with a perfect location.The early check-in was for free ð
215,0,unfortunately the sauna wasnât working due to a broken thermostat
216,1,"good location and well set out, liked the kettle in the room."
217,0,"Gape on the door, which means everything what the peaple talk on the coridor you can hear in the room.Cleanlliness every 3 days."
218,1,"Location ,near to the centrum.Breakfast nice,very polite."
219,0,better air conditioning to assist with the summer heat.
220,1,"The room was spacious and comfortable and we really liked the small touches, such as the heated towel racks and toiletries. the staff were helpful and friendly and because the hotel is centrally located, we could experience Stockholm on foot without having to worry about transport. the breakfast buffet was delicious!"
